year,species,species_name,sample_number,sample_size,sample_weight,extrapolated_weight,extrapolated_number,percent_retained,gear_type,latdd_start,londd_start,nmfs_area,haul_join
2010,350,SHORTSPINE THORNYHEAD,3,2940,3.87,10.97,9,99,8,58.58167,-176.93667,521,1.3776003241999999e+019
2013,350,SHORTSPINE THORNYHEAD,1,12,2.4,7.56,4,0,6,53.59972,-167.63083,518,17806001445e9
2013,350,SHORTSPINE THORNYHEAD,2,12,3.1,14.51,8,0,6,53.5575,-167.75806,518,17806001445e9
2013,350,SHORTSPINE THORNYHEAD,1,16,2.4,6.58,4,0,6,53.64472,-168.0225,518,17806001445e9
2013,350,SHORTSPINE THORNYHEAD,2,20,3,8.53,5,0,6,53.74583,-167.49361,518,17806001445e9
2013,350,SHORTSPINE THORNYHEAD,1,16,1.8,5.9,3,0,6,53.69667,-167.51889,518,17806001445e9
2012,350,SHORTSPINE THORNYHEAD,1,16,3.5,6.2,3,0,6,53.62778,-168.19611,518,156630014450001e5
2012,350,SHORTSPINE THORNYHEAD,1,15,1.2,8.4,4,0,6,53.74556,-167.36667,518,156630014450001e5
2012,350,SHORTSPINE THORNYHEAD,1,12,0.4,8.95,4,0,6,53.63306,-167.88528,518,156630014450001e5
2012,350,SHORTSPINE THORNYHEAD,1,18,0.82,5.97,3,0,6,53.79056,-167.37972,518,156630014450001e5
2009,350,SHORTSPINE THORNYHEAD,1,3663,0.19,1.39,7,100,2,54.495,-165.855,519,1.2655003441999999e+019
2012,350,SHORTSPINE THORNYHEAD,1,18,3.9,5.97,3,100,6,53.81611,-167.33944,518,156630014450001e5
2009,350,SHORTSPINE THORNYHEAD,3,8945,2.04,14.53,21,100,2,55.96333,-168.715,517,1.2655003441999999e+019
2012,350,SHORTSPINE THORNYHEAD,1,18,1.65,5.97,3,0,6,53.79056,-167.36722,518,156630014450001e5
2012,350,SHORTSPINE THORNYHEAD,1,20,1.05,6.2,3,0,6,53.70611,-167.54111,518,156630014450001e5
2012,350,SHORTSPINE THORNYHEAD,1,18,2.2,5.97,3,0,6,53.60722,-167.92083,518,156630014450001e5
2012,350,SHORTSPINE THORNYHEAD,1,18,2.5,6.66,3,100,6,53.64222,-168.01972,518,156630014450001e5
2012,350,SHORTSPINE THORNYHEAD,1,20,3.6,6.3,3,100,6,53.63889,-168.06167,518,156630014450001e5
2012,350,SHORTSPINE THORNYHEAD,1,16,1.9,6.2,3,100,6,53.62889,-168.19472,518,156630014450001e5
2008,350,SHORTSPINE THORNYHEAD,31,209,29.28,484.22,513,0,1,54.59,-166.39667,517,11984004635e9
2008,350,SHORTSPINE THORNYHEAD,51,317,37.7,729.12,986,0,1,54.60833,-166.75833,517,11984004635e9
2009,350,SHORTSPINE THORNYHEAD,1,7476,0.71,2.93,4,100,2,56.06833,-168.49833,517,1.2655003441999999e+019
2008,350,SHORTSPINE THORNYHEAD,24,440,21.28,1015.63,1145,100,1,54.495,-165.94833,517,12135003367e9
2008,350,SHORTSPINE THORNYHEAD,56,341,45.5,1155.77,1422,100,1,54.515,-166.3,519,12135003367e9
2008,350,SHORTSPINE THORNYHEAD,52,337,45.09,957.06,1104,100,1,54.46333,-165.97,517,12135003367e9
2008,350,SHORTSPINE THORNYHEAD,60,284,46.06,1288.02,1678,100,1,54.51833,-166.23167,519,12135003367e9
2009,350,SHORTSPINE THORNYHEAD,2,15173,0.76,5.18,14,100,2,55.93833,-168.87333,517,1.2655003441999999e+019
2009,350,SHORTSPINE THORNYHEAD,4,16131,4.66,31.48,34,100,2,56.01167,-168.665,517,1.2655003441999999e+019
2008,350,SHORTSPINE THORNYHEAD,16,198,13.2,561.93,681,100,1,54.50333,-165.935,517,12135003367e9
2008,350,SHORTSPINE THORNYHEAD,31,290,25.52,531.61,646,100,1,54.51167,-166.23,519,12135003367e9
2008,350,SHORTSPINE THORNYHEAD,27,154,22.78,1020.35,1209,100,1,54.455,-165.98167,517,12135003367e9
2008,350,SHORTSPINE THORNYHEAD,38,161,33.48,1696.3,1925,100,1,54.50333,-166.29333,519,12135003367e9
2008,350,SHORTSPINE THORNYHEAD,50,363,36.89,1026.13,1391,100,1,54.45333,-165.98167,519,12135003367e9
2012,349,THORNYHEAD ROCKFISH UNIDENT,1,10,2.9,17.69,6,0,6,53.74472,-167.36944,518,156630014450001e5
2008,350,SHORTSPINE THORNYHEAD,2,6015,1.34,9.36,14,0,2,54.37,-166,517,1.1704003414000001e+019
2016,350,SHORTSPINE THORNYHEAD,26,7326,29.85,159.19,139,0,8,56.13667,-169.99167,517,2066603347e10
2009,350,SHORTSPINE THORNYHEAD,48,2820,67.16,270.6,164,100,8,56.09,-170.43833,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,41,2820,48.16,187.56,154,100,8,56.23833,-171.37167,523,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,112,3525,136.63,409.92,336,100,8,56.09,-170.43667,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,88,3525,107.39,322.67,264,0,8,56.08667,-170.435,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,85,3540,107.97,362.45,244,0,8,56.09167,-170.42167,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,69,2832,86.59,263.41,196,0,8,56.40333,-171.42167,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,50,2124,65.1,224,150,40,8,56.11167,-170.79167,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,89,3540,115.09,318.47,261,0,8,56.39167,-171.38667,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,132,4956,162.34,383.39,314,0,8,56.45667,-171.89667,523,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,41,2124,55.48,210.63,137,0,8,56.55,-172.255,523,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,62,3540,154.43,266.49,186,100,8,56.53833,-172.16167,523,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,30,4956,46.24,105.33,60,100,8,56.47167,-172.63167,523,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,47,2832,60.22,191.92,137,0,8,56.565,-172.285,523,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,58,2832,71.07,206.36,169,0,8,56.575,-172.43833,523,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,25,1888,27.88,133.42,109,0,8,56.52167,-172.8,523,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,39,2124,45.48,117,108,0,8,56.63833,-173.15833,523,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,4,4935,7.42,9.76,8,0,8,58.47167,-174.61167,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,11,2350,19.26,40.26,33,0,8,58.58,-174.69,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,9,2820,10,32.02,26,50,8,58.545,-176.46333,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,37,2820,45.22,143.53,117,100,8,58.54333,-176.21833,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,25,2820,30.78,90.23,73,100,8,58.54333,-176.46167,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,31,3525,37.26,73.71,62,100,8,58.525,-176.12,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,10,2115,11.4,40.66,33,100,8,58.56333,-176.27833,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,28,4935,35.24,68.67,53,100,8,58.54333,-176.45167,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,28,2820,34.66,102.36,82,100,8,58.52333,-176.09333,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,18,3540,20.04,59.4,54,100,8,58.54667,-176.445,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,43,2360,50.3,165.55,151,100,8,58.565,-176.27833,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,13,4720,18.22,31.72,26,95,8,58.54333,-176.43833,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,29,3540,33.7,70.75,58,100,8,58.56333,-176.27,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,10,2832,10.4,35.58,29,100,8,58.52333,-176.09667,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,27,2360,34.14,103.68,81,100,8,58.56333,-176.28333,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,41,2832,48.86,157.93,137,100,8,58.52667,-176.07333,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,19,2596,28.12,73.75,60,100,8,58.56333,-176.27167,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,13,2832,14.26,29.07,24,100,8,58.53333,-176.43667,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,20,3540,23.14,69.94,57,100,8,58.52667,-176.05667,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,17,2832,18.66,60.49,50,100,8,58.56333,-176.27,521,12910003672e9
2009,350,SHORTSPINE THORNYHEAD,8,2360,8.62,39.04,32,100,8,58.54333,-176.43833,521,12910003672e9
2016,350,SHORTSPINE THORNYHEAD,1,355,1.8,6.8,3,0,8,57.71667,-173.91667,521,20915032665e9
2016,350,SHORTSPINE THORNYHEAD,1,284,2,5.5,3,0,8,57.31667,-173.88333,521,20915032665e9
2016,350,SHORTSPINE THORNYHEAD,3,355,5.8,18,9,0,8,57.31667,-173.86667,521,20915032665e9
2010,350,SHORTSPINE THORNYHEAD,2,153,1.84,233.47,254,100,1,52.76167,-179.305,542,13481002733e9
2010,350,SHORTSPINE THORNYHEAD,2,125,0.22,26.05,237,0,1,52.67667,-179.37333,542,13481002733e9
2010,350,SHORTSPINE THORNYHEAD,1,453,2.47,203.3,82,100,1,52.82,-170.77333,541,13481002733e9
2015,349,THORNYHEAD ROCKFISH UNIDENT,3,900,1.8,9,15,83,8,51.51167,-176.76833,541,20100002122e9
2015,350,SHORTSPINE THORNYHEAD,15,900,21.36,106.8,75,83,8,51.51167,-176.76833,541,20100002122e9
2015,349,THORNYHEAD ROCKFISH UNIDENT,7,900,4.2,12.6,21,100,8,51.52667,-176.655,541,20100002122e9
2015,350,SHORTSPINE THORNYHEAD,16,900,27.97,83.91,48,100,8,51.52667,-176.655,541,20100002122e9
2015,349,THORNYHEAD ROCKFISH UNIDENT,4,900,2.4,12,20,80,8,51.50833,-176.775,541,20100002122e9
2015,350,SHORTSPINE THORNYHEAD,11,900,16.28,101.02,55,80,8,51.50833,-176.775,541,20100002122e9
2015,349,THORNYHEAD ROCKFISH UNIDENT,34,1800,20.4,61.2,102,96,8,51.51167,-176.88167,541,20100002122e9
2015,350,SHORTSPINE THORNYHEAD,23,1800,29.34,88.02,69,96,8,51.51167,-176.88167,541,20100002122e9
2015,349,THORNYHEAD ROCKFISH UNIDENT,5,887,3,12,20,100,8,51.49,-176.87,541,20100002122e9
2015,350,SHORTSPINE THORNYHEAD,17,887,26.53,106.12,68,100,8,51.49,-176.87,541,20100002122e9
2015,349,THORNYHEAD ROCKFISH UNIDENT,36,887,21.6,86.4,144,96,8,51.49667,-176.82333,541,20100002122e9
2015,350,SHORTSPINE THORNYHEAD,17,887,24.47,97.88,68,96,8,51.49667,-176.82333,541,20100002122e9
2008,350,SHORTSPINE THORNYHEAD,21,228,19.32,411.01,447,100,1,54.52889,-165.89028,517,12133000528e9
2008,350,SHORTSPINE THORNYHEAD,14,112,12.19,326.04,374,100,1,54.50444,-166.24139,517,12133000528e9
2010,350,SHORTSPINE THORNYHEAD,1,445,0.98,109.91,112,0,1,52.95167,-170.52833,541,13481002733e9
2008,350,SHORTSPINE THORNYHEAD,8,134,7.63,133.46,140,100,1,54.49944,-165.9,519,12133000528e9
2008,350,SHORTSPINE THORNYHEAD,51,131,54.41,1698.5,1592,0,1,54.46222,-166.18722,517,12133000528e9
2008,350,SHORTSPINE THORNYHEAD,17,135,20.93,246.02,200,0,1,54.40444,-166.40611,519,12133000528e9
2020,350,SHORTSPINE THORNYHEAD,1,210,3111.22,50.65,56,100,1,59.45833,-177.67333,521,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,1,219,161.62,22.53,30,100,1,59.50333,-178.09667,521,2415100161e10
2018,350,SHORTSPINE THORNYHEAD,3,609,9.2,17.51,8,0,8,53.27333,-169.12167,518,22963001375e9
2018,350,SHORTSPINE THORNYHEAD,5,1044,8.1,28.38,13,0,8,53.21833,-168.89167,518,22963001375e9
2018,350,SHORTSPINE THORNYHEAD,2,783,5.4,14.12,6,0,8,53.21667,-169.59833,518,22963001375e9
2018,350,SHORTSPINE THORNYHEAD,6,696,13.62,45.97,20,0,8,53.15833,-168.99333,518,22963001375e9
2014,350,SHORTSPINE THORNYHEAD,1,3764,1.46,4.3,3,0,8,56.11167,-170.54,521,19710004573e9
2014,350,SHORTSPINE THORNYHEAD,55,1882,78.16,473.26,330,96,8,56.095,-170.31833,521,19710004573e9
2020,350,SHORTSPINE THORNYHEAD,24,371,507.48,721.94,1940,0,1,56.45833,-171.77333,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,20,272,80.59,818.49,1376,99,1,56.98,-173.595,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,29,314,70.98,692.16,1075,99,1,57.235,-173.94833,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,15,253,78.23,450.13,960,99,1,57.00333,-173.72,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,14,349,67.48,529.76,1162,99,1,57.25333,-173.925,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,14,195,48.99,241.13,462,100,1,57.03833,-173.75833,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,15,220,36.33,183.46,382,85,1,57.24,-173.945,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,10,201,16.28,344.53,462,100,1,57.07333,-173.83667,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,5,252,21.97,318.64,331,100,1,57.24833,-173.925,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,16,271,445.57,579.71,1168,100,1,56.97667,-173.67,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,18,281,459.05,554,888,99,1,57.11167,-173.52333,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,9,270,729.49,306.34,525,99,1,56.97167,-173.69667,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,30,282,987.55,776.14,1666,99,1,57.11333,-173.49833,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,10,169,410.12,192.93,501,99,1,57.10833,-173.51167,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,4,366,46.5,100.18,262,99,1,56.99167,-173.575,523,2415100161e10
2014,350,SHORTSPINE THORNYHEAD,1,3728,1.43,4.3,3,100,8,56.33333,-171.36833,521,19710004573e9
2014,350,SHORTSPINE THORNYHEAD,120,4500,172.05,447.44,312,93,8,56.26,-170.94667,521,19710004573e9
2020,350,SHORTSPINE THORNYHEAD,5,205,20.76,53.57,107,99,1,57.19667,-173.93667,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,3,256,28.56,71.35,157,99,1,56.99667,-173.60167,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,2,346,68.3,22.17,78,99,1,57.10333,-173.84167,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,3,382,84.15,153.18,195,99,1,57.00167,-173.55167,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,5,208,397.74,46.42,250,99,1,57.08333,-173.75167,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,8,209,334.22,61.99,292,99,1,57.11,-173.50667,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,3,252,28.56,85.36,207,99,1,57.09667,-173.82833,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,5,176,51.65,201.74,350,99,1,57.05667,-173.79167,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,41,377,33.9,1109.69,3314,99,1,56.86167,-173.40333,523,2415100161e10
2020,350,SHORTSPINE THORNYHEAD,1,251,200.72,2.81,70,0,1,58.31833,-175.28333,521,2415100161e10
2014,350,SHORTSPINE THORNYHEAD,2,3812,3.6,8.6,6,0,8,56.01,-169.85167,521,19710004573e9
2014,350,SHORTSPINE THORNYHEAD,23,4208,24.94,82.97,75,0,8,56.23333,-170.8,521,19727004533e9
2008,350,SHORTSPINE THORNYHEAD,1,12,1.4,8.66,4,0,6,54.11833,-166.46583,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,1,12,2.4,8.66,4,0,6,54.27306,-166.11722,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,3,12,4.8,24.93,12,0,6,54.07528,-166.81278,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,1,12,3,8.14,4,0,6,54.13333,-166.56278,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,1,12,3.2,8.66,4,0,6,54.13583,-166.50778,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,1,12,1.6,8.66,4,0,6,54.07278,-166.66611,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,1,12,2.4,8.66,4,0,6,54.13611,-166.51111,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,1,12,1.4,8.66,4,0,6,54.31333,-166.08417,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,1,12,1.2,8.66,4,0,6,54.30389,-166.14889,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,2,12,5.6,16.62,8,0,6,54.06944,-166.78222,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,1,12,1.8,8.66,4,0,6,54.06944,-166.70028,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,1,12,1.6,8.66,4,0,6,54.27611,-166.04389,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,1,12,2.8,8.66,4,0,6,54.07556,-166.66028,519,118280007230001e5
2008,350,SHORTSPINE THORNYHEAD,1,21,3.74,12.82,3,0,6,54.30111,-166.13833,519,123760045600001e5
2008,350,SHORTSPINE THORNYHEAD,2,12,4.2,17.31,8,0,6,54.055,-166.85722,519,118280007230001e5
2017,350,SHORTSPINE THORNYHEAD,9,2258,13.71,47.98,32,0,8,52.17,-175.92833,541,2.1775001276000002e+019
2016,350,SHORTSPINE THORNYHEAD,3,26053,0.63,1.99,9,100,2,54.48167,-165.80167,517,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,3,30546,3.95,14.77,11,100,2,54.565,-165.97667,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,1,23579,1.07,3.01,3,100,2,54.42667,-165.87667,517,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,3,27004,3.08,12.46,12,100,2,54.54333,-165.99333,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,1,28914,1.17,4.16,4,100,2,54.42,-165.89167,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,47,17771,42.5,345.33,382,100,2,54.49,-166.2,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,7,17017,3.31,26.82,57,100,2,54.415,-165.91167,517,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,15,15088,5.22,42.22,121,100,2,54.59333,-165.915,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,5,32533,6.24,31.64,25,100,2,54.52,-165.98167,517,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,17,28057,16.21,75.66,79,100,2,54.53167,-166.10167,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,18,26964,11.1,52.32,85,100,2,54.405,-165.955,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,5,24440,5,23.27,23,100,2,54.42167,-165.97667,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,43,37609,42.84,178.72,179,100,2,54.47333,-166.045,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,55,32517,65.18,260.27,220,100,2,54.48,-166.275,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,82,10067,90.06,915.12,833,100,2,54.45333,-166.245,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,36,10766,41.13,402.92,353,100,2,54.4625,-166.24833,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,43,26056,49.57,190.11,165,100,2,54.465,-165.99333,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,38,3313,41.08,323.66,299,100,2,54.43833,-165.98667,519,20757003261e9
2016,350,SHORTSPINE THORNYHEAD,1,26661,0.69,1.85,3,100,2,54.41333,-165.85833,519,20757003261e9
2014,350,SHORTSPINE THORNYHEAD,2,8416,2.81,6.38,6,0,8,56.265,-171.085,521,19727004533e9
2010,350,SHORTSPINE THORNYHEAD,1,21,1.49,6.71,3,0,6,56.10667,-168.73333,517,135300062100001e5
2010,350,SHORTSPINE THORNYHEAD,2,20,6.62,13.85,6,0,6,56.04167,-168.69,517,135300062100001e5
2016,349,THORNYHEAD ROCKFISH UNIDENT,2,12078,0,20.79,12,0,8,58.65333,-177.33167,521,20659029997e9
2016,350,SHORTSPINE THORNYHEAD,5,12078,5.22,30.68,29,0,8,58.65333,-177.33167,521,20659029997e9
2013,350,SHORTSPINE THORNYHEAD,12,369,7.5,326.64,523,80,1,55.01,-167.60833,517,1.7360002110000001e+019
2013,350,SHORTSPINE THORNYHEAD,7,315,2.22,135.69,428,100,1,55.37667,-168.07333,517,1.7360002110000001e+019
2013,350,SHORTSPINE THORNYHEAD,2,406,1.68,75.52,90,100,1,55.51333,-168.43333,517,1.7360002110000001e+019
2013,350,SHORTSPINE THORNYHEAD,24,389,8.68,275.54,762,100,1,55.38333,-168.10667,517,1.7360002110000001e+019
2013,350,SHORTSPINE THORNYHEAD,1,368,0.18,6.47,36,100,1,55.71,-168.845,517,1.7360002110000001e+019
2013,350,SHORTSPINE THORNYHEAD,10,293,3.58,123.51,345,100,1,55.735,-168.82333,517,1.7360002110000001e+019
2008,350,SHORTSPINE THORNYHEAD,3,554,6.6,21.21,9,100,8,51.76889,-175.25444,541,119820057440001e5
2008,349,THORNYHEAD ROCKFISH UNIDENT,1,554,0,3.05,3,80,8,51.78278,-175.20861,541,119820057440001e5
2008,350,SHORTSPINE THORNYHEAD,4,554,10.8,28.28,12,80,8,51.78278,-175.20861,541,119820057440001e5
2008,350,SHORTSPINE THORNYHEAD,4,628,9.6,28.3,12,100,8,51.53472,-176.86611,541,119820057440001e5
2016,350,SHORTSPINE THORNYHEAD,1,616,3.07,8.05,3,0,8,56.59333,-172.39556,523,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,4,462,12.27,44.98,15,0,8,56.58028,-172.45278,523,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,1,720,3.07,5.37,2,0,8,56.57472,-172.46389,523,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,1,630,3.07,6.57,2,0,8,56.57861,-172.45306,523,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,3,630,9.2,19.71,6,0,8,56.58444,-172.39472,523,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,1,450,4.4,10.73,4,0,8,56.58778,-172.46361,523,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,7,450,21.47,42.93,14,0,8,58.29333,-175.18278,521,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,1,534,3.07,6.13,2,0,8,58.38972,-174.44139,521,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,1,534,3.07,6.13,2,0,8,58.40167,-174.39528,521,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,4,576,12.27,23,8,0,8,58.58361,-174.665,521,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,1,534,3.07,5.11,2,100,8,56.43333,-171.47611,521,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,9,534,26.27,78.2,25,78,8,56.45639,-171.55361,521,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,2,680,6.13,10.73,4,100,8,56.43444,-171.59806,521,20922032665e9
2013,349,THORNYHEAD ROCKFISH UNIDENT,1,1290,0.8,2.67,3,0,8,52.04306,-176.36472,541,16859001695e9
2013,350,SHORTSPINE THORNYHEAD,8,1290,12.39,42.44,27,0,8,52.04306,-176.36472,541,16859001695e9
2013,350,SHORTSPINE THORNYHEAD,11,1720,15.5,43.77,28,100,8,52.03,-176.42167,541,16859001695e9
2013,350,SHORTSPINE THORNYHEAD,14,1290,23.6,74.27,47,100,8,52.19917,-175.41722,541,16859001695e9
2013,349,THORNYHEAD ROCKFISH UNIDENT,1,1290,0.8,2.67,3,0,8,52.16778,-175.35583,541,16859001695e9
2013,350,SHORTSPINE THORNYHEAD,16,1290,25.2,84,53,100,8,52.16778,-175.35583,541,16859001695e9
2013,350,SHORTSPINE THORNYHEAD,11,1290,18.8,58.36,37,100,8,52.19722,-175.41944,541,16859001695e9
2016,350,SHORTSPINE THORNYHEAD,1,450,3.07,8.69,3,0,8,56.42278,-171.44472,521,20922032665e9
2016,350,SHORTSPINE THORNYHEAD,1,286,1.52,8.73,6,0,1,60.39861,-178.75778,524,20917003369e9
2013,350,SHORTSPINE THORNYHEAD,14,381,4.12,115.71,393,100,1,55.56833,-168.49667,517,1.7360002110000001e+019
2013,350,SHORTSPINE THORNYHEAD,22,510,10.38,405.39,859,100,1,55.44,-168.235,517,1.7360002110000001e+019
2013,350,SHORTSPINE THORNYHEAD,1,177,0.4,11.5,29,100,1,55.29667,-167.89333,517,1.7360002110000001e+019
2013,350,SHORTSPINE THORNYHEAD,6,557,2.65,63.62,144,100,1,55.43667,-168.22167,517,1.7360002110000001e+019
