survey,year,area_code,species_code,biomass,var,area,common_name
AI,2016,799,30475,0,0,SBS,redbanded rockfish
AI,2018,299,30475,0.8,0.722208879247543,Western AI,redbanded rockfish
AI,2018,799,30475,0,0,SBS,redbanded rockfish
AI,2018,3499,30475,0,0,Central AI,redbanded rockfish
AI,2018,5699,30475,0,0,Eastern AI,redbanded rockfish
AI,2022,299,30475,1.4,1.56084880736183,Western AI,redbanded rockfish
AI,2022,5699,30475,0,0,Eastern AI,redbanded rockfish
AI,2022,799,30475,0,0,SBS,redbanded rockfish
AI,2022,3499,30475,0,0,Central AI,redbanded rockfish
AI,1991,799,30535,0,0,SBS,harlequin rockfish
AI,1991,5699,30535,2.1,2.56760549512775,Eastern AI,harlequin rockfish
AI,1991,3499,30535,12.9,122.470310451452,Central AI,harlequin rockfish
AI,1991,299,30535,7,20.009211991771,Western AI,harlequin rockfish
AI,1994,799,30535,1.7,2.05850293320767,SBS,harlequin rockfish
AI,1994,5699,30535,4.6,17.8352629930312,Eastern AI,harlequin rockfish
AI,1994,3499,30535,12.4,125.388167773119,Central AI,harlequin rockfish
AI,1994,299,30535,1.2,1.4915523909542,Western AI,harlequin rockfish
AI,1997,799,30535,0,0,SBS,harlequin rockfish
AI,1997,3499,30535,52.5,839.928563185618,Central AI,harlequin rockfish
AI,1997,299,30535,10,38.3928019638168,Western AI,harlequin rockfish
AI,1997,5699,30535,5.4,14.7304059985855,Eastern AI,harlequin rockfish
AI,2000,799,30535,0,0,SBS,harlequin rockfish
AI,2000,299,30535,2.9,8.38226680336486,Western AI,harlequin rockfish
AI,2000,3499,30535,14.6,162.508276211924,Central AI,harlequin rockfish
AI,2000,5699,30535,7.9,62.0999386107924,Eastern AI,harlequin rockfish
AI,2002,5699,30535,9.4,30.1843695779003,Eastern AI,harlequin rockfish
AI,2002,3499,30535,12.5,121.836007062255,Central AI,harlequin rockfish
AI,2002,799,30535,2.2,4.98661660011341,SBS,harlequin rockfish
AI,2002,299,30535,0,0,Western AI,harlequin rockfish
AI,2004,3499,30535,90,6876.59137016581,Central AI,harlequin rockfish
AI,2004,799,30535,4166.7,17155555.6267975,SBS,harlequin rockfish
AI,2004,5699,30535,1.7,2.82776973184962,Eastern AI,harlequin rockfish
AI,2004,299,30535,404.2,147619.3571314,Western AI,harlequin rockfish
AI,2006,5699,30535,15.3,235.151430343498,Eastern AI,harlequin rockfish
AI,2006,299,30535,2.8,3.8664127235642,Western AI,harlequin rockfish
AI,2006,3499,30535,23,432.801967062549,Central AI,harlequin rockfish
AI,2006,799,30535,7.4,14.1019028203008,SBS,harlequin rockfish
AI,2010,799,30535,0,0,SBS,harlequin rockfish
AI,2010,299,30535,3.4,9.79779214735375,Western AI,harlequin rockfish
AI,2010,5699,30535,10.4,37.2437373372447,Eastern AI,harlequin rockfish
AI,2010,3499,30535,8.3,20.8534471167678,Central AI,harlequin rockfish
AI,2012,3499,30535,0,0,Central AI,harlequin rockfish
AI,2012,799,30535,0,0,SBS,harlequin rockfish
AI,2012,5699,30535,0,0,Eastern AI,harlequin rockfish
AI,2012,299,30535,11,28.8621799529537,Western AI,harlequin rockfish
AI,2014,3499,30535,21,142.357310295601,Central AI,harlequin rockfish
AI,2014,5699,30535,3.2,10.0242823780896,Eastern AI,harlequin rockfish
AI,2014,799,30535,0.7,0.524676041384986,SBS,harlequin rockfish
AI,2014,299,30535,71.3,2395.83826188834,Western AI,harlequin rockfish
AI,2016,799,30535,1,1.09960975677721,SBS,harlequin rockfish
AI,2016,299,30535,36.3,651.863068503542,Western AI,harlequin rockfish
AI,2016,3499,30535,43.4,650.984922130721,Central AI,harlequin rockfish
AI,2016,5699,30535,0,0,Eastern AI,harlequin rockfish
AI,2018,299,30535,7.4,10.4982167830695,Western AI,harlequin rockfish
AI,2018,3499,30535,8.2,67.6290726905784,Central AI,harlequin rockfish
AI,2018,5699,30535,2.2,4.87659565420261,Eastern AI,harlequin rockfish
AI,2018,799,30535,0,0,SBS,harlequin rockfish
AI,2022,299,30535,6,11.4155539962872,Western AI,harlequin rockfish
AI,2022,3499,30535,5.2,14.4916508172161,Central AI,harlequin rockfish
AI,2022,5699,30535,14.8,121.063813218709,Eastern AI,harlequin rockfish
AI,2022,799,30535,1.1,1.26521869301712,SBS,harlequin rockfish
AI,1991,799,30560,2.6,6.40109213971494,SBS,sharpchin rockfish
AI,1991,5699,30560,0,0,Eastern AI,sharpchin rockfish
AI,1991,3499,30560,0,0,Central AI,sharpchin rockfish
AI,1991,299,30560,0,0,Western AI,sharpchin rockfish
AI,1994,299,30560,0,0,Western AI,sharpchin rockfish
AI,1994,5699,30560,1.3,1.80705640746099,Eastern AI,sharpchin rockfish
AI,1994,799,30560,0.7,0.517977865039249,SBS,sharpchin rockfish
AI,1994,3499,30560,0,0,Central AI,sharpchin rockfish
AI,1997,799,30560,0,0,SBS,sharpchin rockfish
AI,1997,5699,30560,0,0,Eastern AI,sharpchin rockfish
AI,1997,299,30560,0,0,Western AI,sharpchin rockfish
AI,1997,3499,30560,0,0,Central AI,sharpchin rockfish
AI,2000,5699,30560,0,0,Eastern AI,sharpchin rockfish
AI,2000,3499,30560,0,0,Central AI,sharpchin rockfish
AI,2000,799,30560,0,0,SBS,sharpchin rockfish
AI,2000,299,30560,0,0,Western AI,sharpchin rockfish
AI,2002,3499,30560,0,0,Central AI,sharpchin rockfish
AI,2002,799,30560,0,0,SBS,sharpchin rockfish
AI,2002,299,30560,0,0,Western AI,sharpchin rockfish
AI,2002,5699,30560,0,0,Eastern AI,sharpchin rockfish
AI,2004,799,30560,2.7,7.02950482933759,SBS,sharpchin rockfish
AI,2004,299,30560,0,0,Western AI,sharpchin rockfish
AI,2004,3499,30560,0,0,Central AI,sharpchin rockfish
AI,2004,5699,30560,0,0,Eastern AI,sharpchin rockfish
AI,2006,5699,30560,0,0,Eastern AI,sharpchin rockfish
AI,2006,299,30560,0,0,Western AI,sharpchin rockfish
AI,2006,3499,30560,0,0,Central AI,sharpchin rockfish
AI,2006,799,30560,0,0,SBS,sharpchin rockfish
AI,2010,299,30560,0,0,Western AI,sharpchin rockfish
AI,2010,3499,30560,0,0,Central AI,sharpchin rockfish
AI,2010,799,30560,0,0,SBS,sharpchin rockfish
AI,2010,5699,30560,3,9.00789424163808,Eastern AI,sharpchin rockfish
AI,2012,3499,30560,0,0,Central AI,sharpchin rockfish
AI,2012,799,30560,0,0,SBS,sharpchin rockfish
AI,2012,299,30560,0,0,Western AI,sharpchin rockfish
AI,2012,5699,30560,0,0,Eastern AI,sharpchin rockfish
AI,2014,5699,30560,4.4,19.1542817269759,Eastern AI,sharpchin rockfish
AI,2014,299,30560,0,0,Western AI,sharpchin rockfish
AI,2014,799,30560,0,0,SBS,sharpchin rockfish
AI,2014,3499,30560,0,0,Central AI,sharpchin rockfish
AI,2016,5699,30560,3.1,9.75658051309224,Eastern AI,sharpchin rockfish
AI,2016,299,30560,0.4,0.180483662085983,Western AI,sharpchin rockfish
AI,2016,3499,30560,0,0,Central AI,sharpchin rockfish
AI,2016,799,30560,0,0,SBS,sharpchin rockfish
AI,2018,3499,30560,0,0,Central AI,sharpchin rockfish
AI,2018,799,30560,0,0,SBS,sharpchin rockfish
AI,2018,299,30560,0,0,Western AI,sharpchin rockfish
AI,2018,5699,30560,0,0,Eastern AI,sharpchin rockfish
AI,2022,799,30560,0,0,SBS,sharpchin rockfish
AI,2022,299,30560,0,0,Western AI,sharpchin rockfish
AI,2022,3499,30560,0,0,Central AI,sharpchin rockfish
AI,2022,5699,30560,0,0,Eastern AI,sharpchin rockfish
EBS_SHELF,1982,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1983,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1984,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1985,NA,30150,36.34,1320.7671,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1986,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1987,NA,30150,48.75,2376.9581,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1988,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1989,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1990,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1991,NA,30150,841.52,628294.5795,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1992,NA,30150,13.81,190.7396,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1993,NA,30150,86.48,7479.3688,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1994,NA,30150,46.83,2193.2722,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1995,NA,30150,74.11,2710.7887,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1996,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1997,NA,30150,126.84,16088.726,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1998,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1999,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2000,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2001,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2002,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2003,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2004,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2005,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2006,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2007,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2008,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2009,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2010,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2011,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2012,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2013,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2014,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2015,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2016,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2017,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2018,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2019,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2021,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,2022,NA,30150,0,0,EBS Shelf,dusky and dark rockfishes unid.
EBS_SHELF,1982,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1983,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1984,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1985,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1986,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1987,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1988,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1989,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1990,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1991,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1992,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1993,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1994,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1995,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1996,NA,30152,34.94,1220.5972,EBS Shelf,dusky rockfish
EBS_SHELF,1997,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,1998,NA,30152,527.15,128225.1125,EBS Shelf,dusky rockfish
EBS_SHELF,1999,NA,30152,389.86,85533.4727,EBS Shelf,dusky rockfish
EBS_SHELF,2000,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,2001,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,2002,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,2003,NA,30152,54.28,1437.9379,EBS Shelf,dusky rockfish
EBS_SHELF,2004,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,2005,NA,30152,36.17,1308.5156,EBS Shelf,dusky rockfish
EBS_SHELF,2006,NA,30152,351.18,87930.7821,EBS Shelf,dusky rockfish
EBS_SHELF,2007,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,2008,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,2009,NA,30152,119.68,4779.435,EBS Shelf,dusky rockfish
EBS_SHELF,2010,NA,30152,51.98,2701.5276,EBS Shelf,dusky rockfish
EBS_SHELF,2011,NA,30152,54.74,2996.167,EBS Shelf,dusky rockfish
EBS_SHELF,2012,NA,30152,35.92,1290.207,EBS Shelf,dusky rockfish
EBS_SHELF,2013,NA,30152,38.96,1518.1055,EBS Shelf,dusky rockfish
EBS_SHELF,2014,NA,30152,27.7,767.2886,EBS Shelf,dusky rockfish
EBS_SHELF,2015,NA,30152,142.33,20257.5424,EBS Shelf,dusky rockfish
EBS_SHELF,2016,NA,30152,19.97,398.9816,EBS Shelf,dusky rockfish
EBS_SHELF,2017,NA,30152,169.56,15211.7171,EBS Shelf,dusky rockfish
EBS_SHELF,2018,NA,30152,1561.76,1194939.4343,EBS Shelf,dusky rockfish
EBS_SHELF,2019,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,2021,NA,30152,0,0,EBS Shelf,dusky rockfish
EBS_SHELF,2022,NA,30152,43.29,1874.4128,EBS Shelf,dusky rockfish
EBS_SHELF,1982,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1983,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1984,NA,30535,17.68,312.5903,EBS Shelf,harlequin rockfish
EBS_SHELF,1985,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1986,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1987,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1988,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1989,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1990,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1991,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1992,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1993,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1994,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1995,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1996,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1997,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1998,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,1999,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2000,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2001,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2002,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2003,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2004,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2005,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2006,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2007,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2008,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2009,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2010,NA,30535,4.67,21.8005,EBS Shelf,harlequin rockfish
EBS_SHELF,2011,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2012,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2013,NA,30535,0,0,EBS Shelf,harlequin rockfish
EBS_SHELF,2014,NA,30535,0,0,EBS Shelf,harlequin rockfish
