SURVEY,YEAR,AREA_CODE,SPECIES_CODE,BIOMASS,VAR
AI,1986,799,30150,2812.2,7780200.7598599
AI,1986,799,30535,18.2,315.385216029215
AI,1994,5699,30535,4.6,17.8352629930312
AI,2002,5699,30475,0.5,0.276172433384997
AI,2002,299,30020,8246.6,7221810.36084877
AI,2002,799,30475,0,0
AI,2002,299,30475,0.5,0.286452327520198
AI,2006,299,30020,11117,3582056.54857405
AI,2006,3499,30152,5580.1,27830923.0841058
AI,2004,299,30152,248.1,45020.9702169692
AI,2018,299,30020,7906.6,4965852.55616138
AI,2018,5699,30475,0,0
AI,2018,299,30560,0,0
AI,2018,5699,30560,0,0
AI,2018,799,30152,1638.5,1604569.62673325
AI,2018,5699,30535,2.2,4.87659565420261
AI,1997,799,30020,1545.1,1120300.40034146
AI,1997,299,30152,54.4,2663.39111836759
AI,1997,799,30475,0,0
AI,1997,799,30560,0,0
AI,1997,5699,30152,442,185804.827277828
AI,1997,5699,30560,0,0
AI,1997,299,30560,0,0
AI,1997,5699,30475,0,0
AI,1997,799,30535,0,0
AI,2016,799,30475,0,0
AI,2016,3499,30560,0,0
AI,2016,799,30560,0,0
AI,1986,5699,30020,836.5,105043.451521379
AI,1994,5699,30020,186.6,7239.8999682422
AI,1994,299,30535,1.2,1.4915523909542
AI,1994,299,30020,4503,817468.879610157
AI,1991,5699,30535,2.1,2.56760549512775
AI,1991,5699,30150,127.2,11459.1680929434
AI,1991,3499,30150,331.9,22982.0963758292
AI,1991,3499,30535,12.9,122.470310451452
AI,1997,3499,30560,0,0
AI,1986,3499,30020,1503.4,220685.336313578
AI,1986,3499,30150,69.8,4276.27231679833
AI,1986,5699,30475,0,0
AI,1986,5699,30560,0,0
AI,1986,299,30535,0,0
AI,1986,5699,30535,0,0
AI,1986,299,30475,0,0
AI,1986,299,30560,0,0
AI,1986,3499,30560,0,0
AI,2016,5699,30560,3.1,9.75658051309224
AI,2016,5699,30020,2537.6,716628.140080234
AI,2016,5699,30475,7,48.5629278735483
AI,2002,5699,30152,149,4060.4425400451
AI,2002,799,30020,1012,168037.821458393
AI,2002,799,30535,2.2,4.98661660011341
AI,2004,3499,30560,0,0
AI,2004,5699,30475,0,0
AI,2004,799,30475,0,0
AI,2004,5699,30560,0,0
AI,2002,799,30152,96.9,1240.70153655396
AI,1986,3499,30475,0,0
AI,1986,3499,30535,0,0
AI,1986,799,30475,0,0
AI,1991,5699,30475,0,0
AI,1991,5699,30560,0,0
AI,1991,3499,30560,0,0
AI,1980,799,30020,22.5,506.102565027453
AI,1997,3499,30152,77.5,1531.51611869991
AI,1997,3499,30535,52.5,839.928563185618
AI,1997,3499,30475,0.8,0.598794794850927
AI,1997,3499,30020,2010.9,97835.7895789074
AI,1997,299,30020,6724.6,2504428.91664904
AI,1980,299,30020,489,10409.8630142438
AI,2006,799,30152,730.9,495804.505043916
AI,2006,299,30535,2.8,3.8664127235642
AI,1983,5699,30535,2.5,6.2309485029993
AI,1983,3499,30150,22.2,158.028479524868
AI,1997,299,30535,10,38.3928019638168
AI,2018,799,30535,0,0
AI,2018,799,30475,0,0
AI,2018,3499,30475,0,0
AI,2018,3499,30560,0,0
AI,2018,799,30560,0,0
AI,2016,299,30152,426.2,40301.9770196612
AI,2006,299,30475,0.8,0.605188044260654
AI,2006,299,30152,33.4,441.135398214888
AI,2018,3499,30020,3394.3,401008.765808965
AI,2018,5699,30020,1914.8,1584093.27085346
AI,1986,5699,30150,40.9,502.356431199494
AI,1994,299,30150,132.6,15748.0472531575
AI,1994,3499,30150,53.5,803.584528500156
AI,1994,3499,30535,12.4,125.388167773119
AI,1991,299,30535,7,20.009211991771
AI,1991,799,30475,0.7,0.471600823758079
AI,1983,799,30020,566.2,16147.2818759784
AI,1983,3499,30020,1148.5,292767.001056764
AI,1983,799,30560,0,0
AI,1983,5699,30475,0,0
AI,2018,799,30020,1604.8,1198170.50278621
AI,2010,799,30020,1052.3,594280.794218763
AI,2010,799,30152,120,2846.76277659356
AI,2006,3499,30020,5987.2,922133.857194766
AI,2006,5699,30020,773.6,215084.894265541
AI,1994,799,30020,1070.8,309828.03468975
AI,1994,5699,30475,0,0
AI,2002,299,30152,47.8,961.370049949576
AI,1983,5699,30560,0,0
AI,1983,799,30535,0,0
AI,1983,799,30475,0,0
AI,1983,3499,30560,0,0
AI,1991,799,30535,0,0
AI,1991,3499,30475,0,0
AI,1980,299,30560,0,0
AI,1980,5699,30475,0,0
AI,2016,299,30020,8747.9,4508717.80425567
AI,2016,3499,30020,5255.5,1949932.7557927
AI,2016,799,30020,1607.4,738928.625149851
AI,2004,299,30020,12001.8,9776987.57200581
AI,2002,5699,30535,9.4,30.1843695779003
AI,1994,799,30535,1.7,2.05850293320767
AI,1980,799,30535,0,0
AI,1980,799,30475,0,0
AI,1980,799,30560,0,0
AI,1980,299,30475,0,0
AI,1980,299,30150,0,0
AI,1980,3499,30535,0,0
AI,1980,299,30535,0,0
AI,1980,3499,30150,0,0
AI,2006,5699,30152,343.2,24959.3343376913
AI,2006,3499,30535,23,432.801967062549
AI,1983,299,30535,2.1,1.21778786053026
AI,1983,299,30475,4.7,11.2918839353422
AI,1983,299,30020,1247.6,40779.0861634738
AI,1983,799,30150,235.9,19281.1003775617
AI,1983,3499,30535,1.7,2.23446659163733
AI,1997,299,30475,0.8,0.590564092828969
AI,1997,5699,30020,158.9,5227.17308740379
AI,2016,3499,30152,1061.1,279818.659615343
AI,2016,299,30535,36.3,651.863068503542
AI,2016,3499,30535,43.4,650.984922130721
AI,2000,299,30152,185.5,4217.07399924157
AI,2000,5699,30020,522.1,65707.2252975697
AI,2000,299,30020,6311.2,2776863.33354385
AI,2000,3499,30020,3815.2,1087761.32687967
AI,2014,3499,30560,0,0
AI,2014,799,30475,0,0
AI,1983,5699,30020,705.3,115023.076796869
AI,1983,299,30150,13.5,60.4059208510233
AI,2006,3499,30560,0,0
AI,2006,799,30560,0,0
AI,2012,299,30535,11,28.8621799529537
AI,2000,799,30020,1051.3,250561.284718872
AI,2000,299,30475,0,0
AI,2000,5699,30560,0,0
AI,2000,3499,30475,0,0
AI,2000,3499,30560,0,0
AI,2000,799,30475,0,0
AI,2000,799,30560,0,0
AI,2010,5699,30535,10.4,37.2437373372447
AI,2000,299,30560,0,0
AI,2010,299,30560,0,0
AI,2010,299,30475,0,0
AI,2010,3499,30560,0,0
AI,2010,3499,30152,331.7,30429.113693662
AI,2010,3499,30535,8.3,20.8534471167678
AI,2010,5699,30020,864.5,144559.414069553
AI,2010,799,30475,0,0
AI,2010,799,30535,0,0
AI,2010,799,30560,0,0
AI,2010,5699,30475,0,0
AI,2012,5699,30152,118.1,2972.32875253039
AI,2012,3499,30152,114.6,2724.85947062891
AI,2012,299,30020,9419.2,3544175.43945617
AI,2012,799,30020,451.8,120304.904954001
AI,2012,799,30152,134.6,5946.4042372885
AI,2012,299,30152,3.8,14.3108816360697
AI,2012,3499,30475,1.5,2.38066110564746
AI,2012,5699,30020,1505,582854.413364123
AI,2012,3499,30020,3519.2,666781.91002681
AI,2012,299,30475,1.2,1.38086267050364
AI,2010,5699,30560,3,9.00789424163808
AI,2012,3499,30535,0,0
AI,2012,799,30475,0,0
AI,2012,3499,30560,0,0
AI,2012,799,30560,0,0
AI,2012,299,30560,0,0
AI,2012,5699,30475,0,0
AI,2012,799,30535,0,0
AI,2012,5699,30535,0,0
AI,2012,5699,30560,0,0
AI,2010,299,30535,3.4,9.79779214735375
AI,2014,299,30535,71.3,2395.83826188834
AI,2014,799,30152,231.5,13584.5567684002
AI,2014,3499,30535,21,142.357310295601
AI,2014,5699,30535,3.2,10.0242823780896
AI,2014,299,30475,1.1,1.2515927702129
AI,2014,3499,30152,4733.6,21015685.2106214
AI,2014,5699,30152,759,130203.031097034
AI,2014,5699,30020,649,76012.2016693087
AI,2014,299,30152,49.5,483.453022203437
AI,2014,5699,30560,4.4,19.1542817269759
AI,2014,799,30535,0.7,0.524676041384986
AI,2014,299,30020,12950.8,17918442.6642613
AI,2000,799,30152,55.4,390.934224554423
AI,2000,3499,30152,579.4,105840.056607223
AI,2000,299,30535,2.9,8.38226680336486
AI,2000,3499,30535,14.6,162.508276211924
AI,2014,3499,30020,4011.1,543586.509574763
AI,2014,799,30020,2567.2,2951799.98144608
AI,2000,5699,30152,485.3,69919.7163954503
AI,2000,5699,30535,7.9,62.0999386107924
AI,2014,3499,30475,0,0
AI,2014,5699,30475,0,0
AI,2014,299,30560,0,0
AI,2014,799,30560,0,0
